Algorithm,Train_Time,Test_time,Accuracy,Precision,Recall,F1_score
lr,0.16563982963562013,0.004166293144226074,0.6144820452194473,0.5932411762134466,0.4942866913843925,0.49216444450125196
lda,0.019170713424682618,0.003940153121948242,0.6610758090734447,0.6183659376964544,0.5832300364599214,0.5933336368517294
nb,0.003046536445617676,0.007984662055969238,0.5599798039505443,0.4814785982988491,0.4755413667856197,0.4642948348641071
mlp,1.0219329118728637,0.003943252563476563,0.4261661987094231,0.13137061150404794,0.22852272727272732,0.15609053996116104
svm,0.24158744812011718,0.02145063877105713,0.6511477267129699,0.626291787683895,0.6312744149209667,0.6180389473828725
