Algorithm,Train_Time,Test_time,Accuracy,Precision,Recall,F1_score
lr,0.1265772819519043,0.0031603574752807617,0.49408403526919853,0.34409734964470495,0.37080281329993975,0.34964481574859124
lda,0.007186722755432129,0.004426693916320801,0.6011600413772721,0.5421491356251716,0.5236397349989305,0.5149732762016207
nb,0.0027695894241333008,0.0061408281326293945,0.5005443081621596,0.4415555048396894,0.44953526645768027,0.40217528331871144
mlp,0.5761148452758789,0.0037050247192382812,0.3969287227230186,0.0793857445446037,0.2,0.11365718807610237
svm,0.3114651918411255,0.02110590934753418,0.37958967538544897,0.4511920105670801,0.433933818416577,0.3679172165653027
