Algorithm,Train_Time,Test_time,Accuracy,Precision,Recall,F1_score
lr,0.13638267517089844,0.003614950180053711,0.6055933205260826,0.5878679769777466,0.47902853011186347,0.4734184669225897
lda,0.0075398445129394535,0.0036780595779418944,0.6377961676764692,0.5944960355208011,0.5887631669097185,0.5878330885276845
nb,0.0017557382583618165,0.003946137428283691,0.5228387764149549,0.5146311901823483,0.5016073301964106,0.433976796784522
mlp,0.6450546026229859,0.003656744956970215,0.3969287227230186,0.07946495246539578,0.2,0.11373824177417735
svm,0.31618824005126955,0.025419211387634276,0.47919068026205613,0.4569869893409132,0.48531593268374873,0.4573331110492064
